metric,family,description
passes_attempted__trailing_zscore,Situational - Game State - Z-Score,Standard-deviations from the group mean for: Passes attempted while the player's team was trailing at that moment.
passes_completed__H1,Situational - By Half,Passes completed during the first half (and first-half extra time where played).
passes_completed__H1_per90,Situational - By Half,"Passes completed during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__H1_per90_percentile,Situational - By Half - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Passes completed during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__H1_per90_zscore,Situational - By Half - Z-Score,"Standard-deviations from the group mean for: Passes completed during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__H1_percentile,Situational - By Half - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Passes completed during the first half (and first-half extra time where played).
passes_completed__H1_zscore,Situational - By Half - Z-Score,Standard-deviations from the group mean for: Passes completed during the first half (and first-half extra time where played).
passes_completed__H2,Situational - By Half,Passes completed during the second half (and second-half extra time / shootout where played).
passes_completed__H2_per90,Situational - By Half,"Passes completed during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__H2_per90_percentile,Situational - By Half - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Passes completed during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__H2_per90_zscore,Situational - By Half - Z-Score,"Standard-deviations from the group mean for: Passes completed during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__H2_percentile,Situational - By Half - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Passes completed during the second half (and second-half extra time / shootout where played).
passes_completed__H2_zscore,Situational - By Half - Z-Score,Standard-deviations from the group mean for: Passes completed during the second half (and second-half extra time / shootout where played).
passes_completed__away,Situational - Home/Away,Passes completed in away matches only.
passes_completed__away_per90,Situational - Home/Away,"Passes completed in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__away_per90_percentile,Situational - Home/Away - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Passes completed in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__away_per90_zscore,Situational - Home/Away - Z-Score,"Standard-deviations from the group mean for: Passes completed in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__away_percentile,Situational - Home/Away - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Passes completed in away matches only.
passes_completed__away_zscore,Situational - Home/Away - Z-Score,Standard-deviations from the group mean for: Passes completed in away matches only.
passes_completed__home,Situational - Home/Away,Passes completed in home matches only.
passes_completed__home_per90,Situational - Home/Away,"Passes completed in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__home_per90_percentile,Situational - Home/Away - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Passes completed in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__home_per90_zscore,Situational - Home/Away - Z-Score,"Standard-deviations from the group mean for: Passes completed in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__home_percentile,Situational - Home/Away - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Passes completed in home matches only.
passes_completed__home_zscore,Situational - Home/Away - Z-Score,Standard-deviations from the group mean for: Passes completed in home matches only.
passes_completed__last5,Situational - Rolling Form (L5),Passes completed over the most recent 5 matches (season-end form snapshot).
passes_completed__last5_per90,Situational - Rolling Form (L5),"Passes completed over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__last5_per90_percentile,Situational - Rolling Form (L5) - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Passes completed over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__last5_per90_zscore,Situational - Rolling Form (L5) - Z-Score,"Standard-deviations from the group mean for: Passes completed over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__last5_percentile,Situational - Rolling Form (L5) - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Passes completed over the most recent 5 matches (season-end form snapshot).
passes_completed__last5_zscore,Situational - Rolling Form (L5) - Z-Score,Standard-deviations from the group mean for: Passes completed over the most recent 5 matches (season-end form snapshot).
passes_completed__leading,Situational - Game State,Passes completed while the player's team was leading at that moment (score state reconstructed from the raw goal timeline).
passes_completed__leading_per90,Situational - Game State,"Passes completed while the player's team was leading at that moment (score state reconstructed from the raw goal timeline). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__leading_per90_percentile,Situational - Game State - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Passes completed while the player's team was leading at that moment (score state reconstructed from the raw goal timeline). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__leading_per90_zscore,Situational - Game State - Z-Score,"Standard-deviations from the group mean for: Passes completed while the player's team was leading at that moment (score state reconstructed from the raw goal timeline). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__leading_percentile,Situational - Game State - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Passes completed while the player's team was leading at that moment (score state reconstructed from the raw goal timeline).
passes_completed__leading_zscore,Situational - Game State - Z-Score,Standard-deviations from the group mean for: Passes completed while the player's team was leading at that moment (score state reconstructed from the raw goal timeline).
passes_completed__level,Situational - Game State,Passes completed while the scoreline was level at that moment.
passes_completed__level_per90,Situational - Game State,"Passes completed while the scoreline was level at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__level_per90_percentile,Situational - Game State - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Passes completed while the scoreline was level at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__level_per90_zscore,Situational - Game State - Z-Score,"Standard-deviations from the group mean for: Passes completed while the scoreline was level at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__level_percentile,Situational - Game State - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Passes completed while the scoreline was level at that moment.
passes_completed__level_zscore,Situational - Game State - Z-Score,Standard-deviations from the group mean for: Passes completed while the scoreline was level at that moment.
passes_completed__trailing,Situational - Game State,Passes completed while the player's team was trailing at that moment.
passes_completed__trailing_per90,Situational - Game State,"Passes completed while the player's team was trailing at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__trailing_per90_percentile,Situational - Game State - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Passes completed while the player's team was trailing at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__trailing_per90_zscore,Situational - Game State - Z-Score,"Standard-deviations from the group mean for: Passes completed while the player's team was trailing at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
passes_completed__trailing_percentile,Situational - Game State - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Passes completed while the player's team was trailing at that moment.
passes_completed__trailing_zscore,Situational - Game State - Z-Score,Standard-deviations from the group mean for: Passes completed while the player's team was trailing at that moment.
shots__H1,Situational - By Half,"Shots taken (all situations, including own-goal touches) during the first half (and first-half extra time where played)."
shots__H1_per90,Situational - By Half,"Shots taken (all situations, including own-goal touches) during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__H1_per90_percentile,Situational - By Half - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots taken (all situations, including own-goal touches) during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__H1_per90_zscore,Situational - By Half - Z-Score,"Standard-deviations from the group mean for: Shots taken (all situations, including own-goal touches) during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__H1_percentile,Situational - By Half - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots taken (all situations, including own-goal touches) during the first half (and first-half extra time where played)."
shots__H1_zscore,Situational - By Half - Z-Score,"Standard-deviations from the group mean for: Shots taken (all situations, including own-goal touches) during the first half (and first-half extra time where played)."
shots__H2,Situational - By Half,"Shots taken (all situations, including own-goal touches) during the second half (and second-half extra time / shootout where played)."
shots__H2_per90,Situational - By Half,"Shots taken (all situations, including own-goal touches) during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__H2_per90_percentile,Situational - By Half - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots taken (all situations, including own-goal touches) during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__H2_per90_zscore,Situational - By Half - Z-Score,"Standard-deviations from the group mean for: Shots taken (all situations, including own-goal touches) during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__H2_percentile,Situational - By Half - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots taken (all situations, including own-goal touches) during the second half (and second-half extra time / shootout where played)."
shots__H2_zscore,Situational - By Half - Z-Score,"Standard-deviations from the group mean for: Shots taken (all situations, including own-goal touches) during the second half (and second-half extra time / shootout where played)."
shots__away,Situational - Home/Away,"Shots taken (all situations, including own-goal touches) in away matches only."
shots__away_per90,Situational - Home/Away,"Shots taken (all situations, including own-goal touches) in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__away_per90_percentile,Situational - Home/Away - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots taken (all situations, including own-goal touches) in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__away_per90_zscore,Situational - Home/Away - Z-Score,"Standard-deviations from the group mean for: Shots taken (all situations, including own-goal touches) in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__away_percentile,Situational - Home/Away - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots taken (all situations, including own-goal touches) in away matches only."
shots__away_zscore,Situational - Home/Away - Z-Score,"Standard-deviations from the group mean for: Shots taken (all situations, including own-goal touches) in away matches only."
shots__home,Situational - Home/Away,"Shots taken (all situations, including own-goal touches) in home matches only."
shots__home_per90,Situational - Home/Away,"Shots taken (all situations, including own-goal touches) in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__home_per90_percentile,Situational - Home/Away - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots taken (all situations, including own-goal touches) in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__home_per90_zscore,Situational - Home/Away - Z-Score,"Standard-deviations from the group mean for: Shots taken (all situations, including own-goal touches) in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__home_percentile,Situational - Home/Away - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots taken (all situations, including own-goal touches) in home matches only."
shots__home_zscore,Situational - Home/Away - Z-Score,"Standard-deviations from the group mean for: Shots taken (all situations, including own-goal touches) in home matches only."
shots__last5,Situational - Rolling Form (L5),"Shots taken (all situations, including own-goal touches) over the most recent 5 matches (season-end form snapshot)."
shots__last5_per90,Situational - Rolling Form (L5),"Shots taken (all situations, including own-goal touches) over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__last5_per90_percentile,Situational - Rolling Form (L5) - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots taken (all situations, including own-goal touches) over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__last5_per90_zscore,Situational - Rolling Form (L5) - Z-Score,"Standard-deviations from the group mean for: Shots taken (all situations, including own-goal touches) over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__last5_percentile,Situational - Rolling Form (L5) - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots taken (all situations, including own-goal touches) over the most recent 5 matches (season-end form snapshot)."
shots__last5_zscore,Situational - Rolling Form (L5) - Z-Score,"Standard-deviations from the group mean for: Shots taken (all situations, including own-goal touches) over the most recent 5 matches (season-end form snapshot)."
shots__leading,Situational - Game State,"Shots taken (all situations, including own-goal touches) while the player's team was leading at that moment (score state reconstructed from the raw goal timeline)."
shots__leading_per90,Situational - Game State,"Shots taken (all situations, including own-goal touches) while the player's team was leading at that moment (score state reconstructed from the raw goal timeline). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__leading_per90_percentile,Situational - Game State - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots taken (all situations, including own-goal touches) while the player's team was leading at that moment (score state reconstructed from the raw goal timeline). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__leading_per90_zscore,Situational - Game State - Z-Score,"Standard-deviations from the group mean for: Shots taken (all situations, including own-goal touches) while the player's team was leading at that moment (score state reconstructed from the raw goal timeline). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__leading_percentile,Situational - Game State - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots taken (all situations, including own-goal touches) while the player's team was leading at that moment (score state reconstructed from the raw goal timeline)."
shots__leading_zscore,Situational - Game State - Z-Score,"Standard-deviations from the group mean for: Shots taken (all situations, including own-goal touches) while the player's team was leading at that moment (score state reconstructed from the raw goal timeline)."
shots__level,Situational - Game State,"Shots taken (all situations, including own-goal touches) while the scoreline was level at that moment."
shots__level_per90,Situational - Game State,"Shots taken (all situations, including own-goal touches) while the scoreline was level at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__level_per90_percentile,Situational - Game State - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots taken (all situations, including own-goal touches) while the scoreline was level at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__level_per90_zscore,Situational - Game State - Z-Score,"Standard-deviations from the group mean for: Shots taken (all situations, including own-goal touches) while the scoreline was level at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__level_percentile,Situational - Game State - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots taken (all situations, including own-goal touches) while the scoreline was level at that moment."
shots__level_zscore,Situational - Game State - Z-Score,"Standard-deviations from the group mean for: Shots taken (all situations, including own-goal touches) while the scoreline was level at that moment."
shots__trailing,Situational - Game State,"Shots taken (all situations, including own-goal touches) while the player's team was trailing at that moment."
shots__trailing_per90,Situational - Game State,"Shots taken (all situations, including own-goal touches) while the player's team was trailing at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__trailing_per90_percentile,Situational - Game State - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots taken (all situations, including own-goal touches) while the player's team was trailing at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__trailing_per90_zscore,Situational - Game State - Z-Score,"Standard-deviations from the group mean for: Shots taken (all situations, including own-goal touches) while the player's team was trailing at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots__trailing_percentile,Situational - Game State - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots taken (all situations, including own-goal touches) while the player's team was trailing at that moment."
shots__trailing_zscore,Situational - Game State - Z-Score,"Standard-deviations from the group mean for: Shots taken (all situations, including own-goal touches) while the player's team was trailing at that moment."
shots_on_target__H1,Situational - By Half,Shots on target (saved or scored) during the first half (and first-half extra time where played).
shots_on_target__H1_per90,Situational - By Half,"Shots on target (saved or scored) during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__H1_per90_percentile,Situational - By Half - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots on target (saved or scored) during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__H1_per90_zscore,Situational - By Half - Z-Score,"Standard-deviations from the group mean for: Shots on target (saved or scored) during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__H1_percentile,Situational - By Half - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Shots on target (saved or scored) during the first half (and first-half extra time where played).
shots_on_target__H1_zscore,Situational - By Half - Z-Score,Standard-deviations from the group mean for: Shots on target (saved or scored) during the first half (and first-half extra time where played).
shots_on_target__H2,Situational - By Half,Shots on target (saved or scored) during the second half (and second-half extra time / shootout where played).
shots_on_target__H2_per90,Situational - By Half,"Shots on target (saved or scored) during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__H2_per90_percentile,Situational - By Half - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots on target (saved or scored) during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__H2_per90_zscore,Situational - By Half - Z-Score,"Standard-deviations from the group mean for: Shots on target (saved or scored) during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__H2_percentile,Situational - By Half - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Shots on target (saved or scored) during the second half (and second-half extra time / shootout where played).
shots_on_target__H2_zscore,Situational - By Half - Z-Score,Standard-deviations from the group mean for: Shots on target (saved or scored) during the second half (and second-half extra time / shootout where played).
shots_on_target__away,Situational - Home/Away,Shots on target (saved or scored) in away matches only.
shots_on_target__away_per90,Situational - Home/Away,"Shots on target (saved or scored) in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__away_per90_percentile,Situational - Home/Away - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots on target (saved or scored) in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__away_per90_zscore,Situational - Home/Away - Z-Score,"Standard-deviations from the group mean for: Shots on target (saved or scored) in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__away_percentile,Situational - Home/Away - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Shots on target (saved or scored) in away matches only.
shots_on_target__away_zscore,Situational - Home/Away - Z-Score,Standard-deviations from the group mean for: Shots on target (saved or scored) in away matches only.
shots_on_target__home,Situational - Home/Away,Shots on target (saved or scored) in home matches only.
shots_on_target__home_per90,Situational - Home/Away,"Shots on target (saved or scored) in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__home_per90_percentile,Situational - Home/Away - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots on target (saved or scored) in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__home_per90_zscore,Situational - Home/Away - Z-Score,"Standard-deviations from the group mean for: Shots on target (saved or scored) in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__home_percentile,Situational - Home/Away - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Shots on target (saved or scored) in home matches only.
shots_on_target__home_zscore,Situational - Home/Away - Z-Score,Standard-deviations from the group mean for: Shots on target (saved or scored) in home matches only.
shots_on_target__last5,Situational - Rolling Form (L5),Shots on target (saved or scored) over the most recent 5 matches (season-end form snapshot).
shots_on_target__last5_per90,Situational - Rolling Form (L5),"Shots on target (saved or scored) over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__last5_per90_percentile,Situational - Rolling Form (L5) - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots on target (saved or scored) over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__last5_per90_zscore,Situational - Rolling Form (L5) - Z-Score,"Standard-deviations from the group mean for: Shots on target (saved or scored) over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__last5_percentile,Situational - Rolling Form (L5) - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Shots on target (saved or scored) over the most recent 5 matches (season-end form snapshot).
shots_on_target__last5_zscore,Situational - Rolling Form (L5) - Z-Score,Standard-deviations from the group mean for: Shots on target (saved or scored) over the most recent 5 matches (season-end form snapshot).
shots_on_target__leading,Situational - Game State,Shots on target (saved or scored) while the player's team was leading at that moment (score state reconstructed from the raw goal timeline).
shots_on_target__leading_per90,Situational - Game State,"Shots on target (saved or scored) while the player's team was leading at that moment (score state reconstructed from the raw goal timeline). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__leading_per90_percentile,Situational - Game State - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots on target (saved or scored) while the player's team was leading at that moment (score state reconstructed from the raw goal timeline). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__leading_per90_zscore,Situational - Game State - Z-Score,"Standard-deviations from the group mean for: Shots on target (saved or scored) while the player's team was leading at that moment (score state reconstructed from the raw goal timeline). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__leading_percentile,Situational - Game State - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Shots on target (saved or scored) while the player's team was leading at that moment (score state reconstructed from the raw goal timeline).
shots_on_target__leading_zscore,Situational - Game State - Z-Score,Standard-deviations from the group mean for: Shots on target (saved or scored) while the player's team was leading at that moment (score state reconstructed from the raw goal timeline).
shots_on_target__level,Situational - Game State,Shots on target (saved or scored) while the scoreline was level at that moment.
shots_on_target__level_per90,Situational - Game State,"Shots on target (saved or scored) while the scoreline was level at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__level_per90_percentile,Situational - Game State - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots on target (saved or scored) while the scoreline was level at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__level_per90_zscore,Situational - Game State - Z-Score,"Standard-deviations from the group mean for: Shots on target (saved or scored) while the scoreline was level at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__level_percentile,Situational - Game State - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Shots on target (saved or scored) while the scoreline was level at that moment.
shots_on_target__level_zscore,Situational - Game State - Z-Score,Standard-deviations from the group mean for: Shots on target (saved or scored) while the scoreline was level at that moment.
shots_on_target__trailing,Situational - Game State,Shots on target (saved or scored) while the player's team was trailing at that moment.
shots_on_target__trailing_per90,Situational - Game State,"Shots on target (saved or scored) while the player's team was trailing at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
shots_on_target__trailing_per90_percentile,Situational - Game State - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Shots on target (saved or scored) while the player's team was trailing at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
