player,team,attempts,expected_box_entries,actual_box_entries,added_value
P. Gladon,Fortuna Sittard,16,3.2589097077903584,1,-2.2589097077903584
S. van Gassel,SBV Excelsior,29,3.159429411149423,3,-0.15942941114942322
R. Nijstad,FC Twente,10,3.1591054797342273,4,0.8408945202657727
S. van Ottele,Fortuna Sittard,13,3.1339127155986506,5,1.8660872844013494
G. Diarra,Feyenoord Rotterdam,8,3.1326948355611903,1,-2.1326948355611903
G. Reiziger,PEC Zwolle,4,3.0886309593767103,3,-0.08863095937671028
C. Bozdoğan,FC Utrecht,11,3.0818959012716007,4,0.9181040987283993
F. Stokkers,Go Ahead Eagles,8,3.058146132359929,2,-1.058146132359929
N. Þórisson,SC Telstar,6,3.0126236152112043,2,-1.0126236152112043
J. Bergraaf,SBV Excelsior,10,2.978181194330621,1,-1.9781811943306211
S. Scheperman,Heracles Almelo,10,2.945719544760274,3,0.0542804552397258
J. Drommel,Sparta Rotterdam,32,2.9218009658610593,4,1.0781990341389407
M. Jonathans,FC Utrecht,11,2.8955082524417683,2,-0.8955082524417683
J. van den Berg,PSV Eindhoven,5,2.8846099053721375,1,-1.8846099053721375
T. Kraaijeveld,Feyenoord Rotterdam,7,2.8476880092978205,3,0.1523119907021795
J. Šutalo,AFC Ajax,9,2.797497063003906,0,-2.797497063003906
M. Soumano,NAC Breda,6,2.7695538693466304,2,-0.7695538693466304
T. Hernes,FC Groningen,6,2.7237519923330336,2,-0.7237519923330336
M. Kleijn,Sparta Rotterdam,8,2.6527662536934553,3,0.3472337463065447
R. Metu,FC Groningen,8,2.6486228953689324,2,-0.6486228953689324
J. Reine-Adélaïde,Heracles Almelo,5,2.636220241876398,4,1.3637797581236022
M. Jonathans,SBV Excelsior,8,2.585293409914774,4,1.4147065900852258
R. Sterling,Feyenoord Rotterdam,11,2.550570725526528,3,0.4494292744734718
A. Ueda,Feyenoord Rotterdam,7,2.5457500202279775,2,-0.5457500202279775
Danilo,Nijmegen Eendracht Combinatie,5,2.5354877008406107,3,0.4645122991593893
Z. Booth,SBV Excelsior,4,2.5248762000888294,1,-1.5248762000888294
Y. Oukili,Fortuna Sittard,6,2.5130950171277076,2,-0.5130950171277076
S. Janssen,SBV Excelsior,14,2.4926457782921023,3,0.5073542217078977
R. Bozinovski,Heracles Almelo,5,2.4908328619028275,1,-1.4908328619028275
K. Itakura,AFC Ajax,8,2.4750254595840433,3,0.5249745404159567
J. De Busser,Go Ahead Eagles,19,2.437418013238753,2,-0.43741801323875285
